Title,genre,language,mood,poster_url
Khalifa,Action,Malayalam,Thriller,https://m.media-amazon.com/images/M/MV5BMjA5OTc3NjMtZDJlNS00ZjZkLThjMTMtMDM2Mzk4NzAwYjc0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Aavesham,Action,Malayalam,Comedy,https://m.media-amazon.com/images/M/MV5BYzA2Nzk5MGEtNmY4YS00ZGYzLTgyOGUtMTVhYzczNmVlMGNkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Aadujeevitham,Drama,Malayalam,Emotional,https://m.media-amazon.com/images/M/MV5BN2UzY2Y5YWYtZGY3Ny00NzQ0LWI4YzEtMDUzMTczZjBkODRhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Bramayugam,Horror,Malayalam,Thriller,https://m.media-amazon.com/images/M/MV5BYzkzODk1NWYtMzg0Ni00MjA4LTg0NjgtOTAyN2ViMzVlY2I4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Premalu,Romance,Malayalam,Feel Good,https://m.media-amazon.com/images/M/MV5BMjA3NTY3YTItYTlhNi00OTlhLWIxNzctZjY0NjljM2YxMGI3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Turbo,Action,Malayalam,Thriller,https://m.media-amazon.com/images/M/MV5BZTU5NTI1ZjctYTZiZS00MGRmLWExMmQtYjlmMGQzZjhmNTRiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
ARM,Adventure,Malayalam,Fantasy,https://m.media-amazon.com/images/M/MV5BNWMyZTY5YjYtYmFiMS00MjU2LTg4OGYtMmJhY2M4OWExMDhhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Guruvayoor Ambalanadayil,Comedy,Malayalam,Feel Good,https://m.media-amazon.com/images/M/MV5BNWRmZTM3OGQtMGFiZS00NDRiLTk4ZTQtMzg2Nzk2NzlmZjM4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Ranam,Action,Malayalam,Thriller,https://m.media-amazon.com/images/M/MV5BMGMzOWZiYjUtODQwNC00MzU4LWIwOGQtYmY1NTZmMmNjMTEyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Thallumaala,Action,Malayalam,Comedy,https://m.media-amazon.com/images/M/MV5BYzA5NWYyYzMtOGM5Mi00NDcxLWI4MmYtOTQ4NzNmY2Q4YzQ4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
